codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DOC.075;Padrão Cosmético - RX Referencial - Repro;DOC;1;30/07/2024;08/08/2024;;;;;;;;08/08/2026;06/11/2026;Sim
DOC.076;Tolerâncias para Lentes - Repro;DOC;0;26/07/2023;26/07/2023;;;;;;;;24/07/2026;23/10/2026;Sim
DOC.077;Pilares da Tomada de Decisão - Aprovado, Liberado Sob Concessão ou Reprovado;DOC;0;04/08/2023;04/08/2023;;;;;;;;04/08/2026;03/11/2026;Sim
DOC.078;Priorização de Serviços - Laboratório Sumaré;DOC;1;31/10/2023;14/12/2023;;;;;;;;13/12/2025;13/03/2026;Sim
DOC.079;Fluxograma de Processos - Sumaré Laboratório;DOC;1;30/09/2024;16/10/2024;;;;;;;;16/10/2025;14/01/2026;Sim
DOC.080;DA - Coordenador de Qualidade;DOC;0;23/10/2023;27/10/2023;;;;;;;;26/10/2025;24/01/2026;Sim
DOC.081;DA - Gerente Técnico;DOC;0;23/10/2023;27/10/2023;;;;;;;;26/10/2025;24/01/2026;Sim
DOC.082;Manual de Compras - Optilab;DOC;0;21/11/2023;04/12/2023;;;;;;;;03/12/2025;03/03/2026;Sim
DOC.083;Fluxograma de Processos - Optilab;DOC;1;29/04/2025;30/05/2025;;;;;;;Fluxograma de Processos - Optilab;30/05/2026;28/08/2026;Sim
DOC.084;Gestão de Troca dos Pads (Descarte) - Padrão;DOC;0;01/02/2024;02/02/2024;;;;;;;;01/02/2026;02/05/2026;Sim
DOC.085;Manual de compras - Visolab;DOC;0;09/02/2024;21/02/2024;;;;;;;;20/02/2026;21/05/2026;Sim
DOC.086;Fotos - Cadinho Processo Essilor - Lab Sumaré;DOC;0;21/02/2024;21/02/2024;;;;;;;;20/05/2026;20/08/2026;Sim
DOC.087;Fluxograma de Processos - Visolab;DOC;2;16/08/2024;16/08/2024;;;;;;;;17/08/2026;16/11/2026;Sim
DOC.088;Fluxo do Rack - Technopark;DOC;1;09/09/2025;28/10/2025;;;;;;;;28/10/2026;26/01/2027;Sim
DOC.089;Acompanhamento dos Pedidos por Cores - Visolab;DOC;0;06/05/2024;07/05/2024;;;;;;;;07/05/2026;06/08/2026;Sim
DOC.090;Montagem de Garra - Gabarito;DOC;1;18/09/2024;16/10/2024;;;;;;;;16/10/2025;14/01/2026;Sim
DOC.092;Padrão de Envio de Fotos de Lentes para Garantia - Visolab;DOC;0;17/07/2024;19/07/2024;;;;;;;;20/07/2026;19/10/2026;Sim
DOC.095;Gabarito de Direcionamento - Prisma;DOC;0;25/07/2024;30/07/2024;;;;;;;;30/07/2026;29/10/2026;Sim
DOC.101;Organograma - Visolab;DOC;0;20/08/2024;20/08/2024;;;;;;;;20/08/2026;18/11/2026;Sim
